Date,AOD,RD
2022-06-23 09:08:00,0.529,2.674
2022-06-23 09:30:00,0.529,4.4808
2022-06-23 10:00:00,0.46995,9.492
2022-06-23 10:36:00,0.35296,2.7807
2022-06-23 11:00:00,0.31346,2.5634
2022-06-23 11:30:00,0.31346,7.555
2022-06-23 12:00:00,0.31346,8.8085
2022-06-23 13:00:00,0.31346,9.1189
2022-06-23 14:00:00,0.31346,7.2
2022-06-23 14:30:00,0.31346,9.417
2022-06-23 15:09:00,0.31346,8.3837
2022-06-23 15:40:00,0.31346,4.0721
2022-06-23 16:20:00,0.35296,1.9641
2022-06-24 08:45:00,0.59544,8.4073
2022-06-24 09:35:00,0.529,6.94
2022-06-24 10:00:00,0.46995,7.3395
2022-06-24 10:30:00,0.31346,0.5117
2022-06-24 11:15:00,0.31346,3.9463
2022-06-24 11:30:00,0.31346,8.7235
2022-06-24 12:33:00,0.31346,7.516
2022-06-24 13:00:00,0.31346,9.1585
2022-06-24 13:35:00,0.23559,2.9429
2022-06-24 14:15:00,0.23559,3.9964
2022-06-24 14:30:00,0.23559,1.8463
2022-06-24 15:00:00,0.23559,0.7078
2022-06-24 16:00:00,0.31346,8.4314
