Date,Mixto
2022-07-09 10:30:00,29.0
2022-07-09 10:45:00,32.0
2022-07-09 11:00,38.0
2022-07-09 11:15:00,41.0
2022-07-09 11:30:00,43.0
2022-07-09 11:45:00,45.0
2022-07-09 12:00:00,48.0
2022-07-09 12:15:00,51.0
2022-07-09 12:30:00,53.0
2022-07-09 13:05:00,55.0
2022-07-09 13:15:00,56.0
2022-07-09 13:30:00,57.0
2022-07-09 13:45,58.0
2022-07-09 14:00:00,58.0
2022-07-09 14:15:00,57.0
2022-07-09 14:30:00,56.0
2022-07-09 14:45:00,54.0
2022-07-09 15:00:00,54.0
2022-07-09 15:15:00,52.0
2022-07-09 15:30:00,50.0
2022-07-09 15:45:00,48.0
2022-07-09 16:00:00,45.0
2022-07-09 16:15:00,41.0
2022-07-09 16:30:00,40.0
2022-07-09 16:45:00,36.0
2022-07-09 17:00:00,32.0
2022-07-20 12:05:00,43.0
2022-07-20 12:10:00,44.5
2022-07-20 12:15:00,46.5
2022-07-20 12:20:00,46.0
2022-07-20 12:23:00,47.0
2022-07-20 12:25:00,48.0
2022-07-20 12:30:00,48.0
2022-07-20 12:35:00,49.0
2022-07-20 12:40:00,49.0
2022-07-20 12:45:00,50.5
2022-07-20 12:50:00,51.0
2022-07-20 12:55:00,51.5
2022-07-20 13:00:00,52.0
2022-07-20 13:05:00,52.5
2022-07-20 13:10:00,52.0
2022-07-20 13:15:00,52.0
2022-07-20 13:20:00,53.0
2022-07-20 13:25:00,53.0
2022-07-20 13:30:00,53.0
2022-07-20 13:35:00,54.0
2022-07-20 13:40:00,54.0
2022-07-20 13:47:00,55.0
2022-07-20 13:50:00,53.5
2022-07-20 13:55:00,53.0
2022-07-20 14:00:00,54.0
2022-07-20 14:05:00,55.0
2022-07-20 14:10:00,55.0
2022-07-20 14:15:00,56.0
2022-07-20 14:20:00,53.0
2022-07-20 14:25:00,43.0
2022-07-30 15:50:00,47.5
2022-07-30 15:56:00,46.0
2022-07-30 16:07:00,46.0
2022-07-30 16:10:00,45.0
2022-07-30 16:23:00,45.0
2022-08-04 13:00:00,55.0
2022-08-04 13:06:00,56.0
2022-08-04 13:10:00,58.0
2022-08-04 13:15:00,59.0
2022-08-04 13:20:00,60.0
2022-08-04 13:30:00,60.0
