Date,Palacio de Justicia
2022-06-23 9:08:00,10.0
2022-06-23 9:30:00,13.0
2022-06-23 10:00:00,20.0
2022-06-23 10:36:00,29.0
2022-06-23 11:00:00,35.0
2022-06-23 11:30:00,42.0
2022-06-23 12:00:00,47.0
2022-06-23 13:00:00,53.0
2022-06-23 14:00:00,53.0
2022-06-23 14:30:00,53.0
2022-06-23 15:09:00,49.0
2022-06-23 15:40:00,43.0
2022-06-23 16:20:00,34.0
2022-06-24 8:45:00,7.0
2022-06-24 9:35:00,14.0
2022-06-24 10:00:00,19.5
2022-06-24 10:30:00,29.0
2022-06-24 11:15:00,38.0
2022-06-24 11:30:00,42.5
2022-06-24 12:33:00,50.0
2022-06-24 13:00:00,53.0
2022-06-24 13:35:00,56.0
2022-06-24 14:15:00,56.0
2022-06-24 14:30:00,54.0
2022-06-24 15:00:00,51.0
2022-06-24 16:00:00,42.0
2022-07-01 8:30:00,6.0
2022-07-01 9:05:00,9.5
2022-07-01 10:30:00,29.0
2022-07-01 11:00:00,36.0
2022-07-01 11:30:00,41.0
2022-07-01 12:00:00,47.0
2022-07-01 12:40:00,53.0
2022-07-01 13:07:00,56.0
2022-07-01 15:20:00,48.0
2022-07-06 10:50:00,33.6
2022-07-06 11:35:00,44.0
2022-07-06 12:00:00,43.0
2022-07-11 9:00:00,10.0
2022-07-11 9:30:00,16.5
2022-07-11 10:00:00,24.0
2022-07-11 10:32:00,32.0
2022-07-11 11:30:00,41.0
2022-07-11 12:49:00,51.0
2022-07-11 13:10:00,53.0
2022-07-11 13:30:00,55.0
2022-07-11 14:00:00,53.0
2022-07-11 15:30:00,49.0
2022-07-12 9:00:00,10.0
2022-07-12 10:00:00,22.0
2022-07-12 10:30:00,24.0
2022-07-12 11:00:00,35.0
2022-07-12 11:35:00,43.0
2022-07-12 13:00:00,54.0
2022-07-12 14:00:00,54.0
2022-07-12 15:00:00,52.0
2022-07-12 15:30:00,46.5
2022-08-02 10:08:00,28.0
2022-08-02 10:45:00,35.0
2022-08-02 11:15:00,42.0
2022-08-02 11:30:00,44.0
2022-08-02 12:00:00,49.0
2022-08-02 12:25:00,50.0
2022-08-02 13:00:00,53.0
2022-08-02 14:00:00,50.0
2022-08-02 14:32:00,47.0
2022-08-02 15:40:00,41.5
